"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-3653","0","4","2","16","3","29","2","5","28","5","14","0","76","30","36","27","12","2","6","44","5","4","6","6","19","2","46","65","3","43","35","43","14","24","28"
"hsa-mir-3654","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","3","0","0","2","1","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3655","0","0","1","0","0","0","0","1","1","0","0","1","4","0","0","2","1","1","0","3","1","0","0","0","3","0","1","1","0","0","2","0","0","1","1"
"hsa-mir-3656","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"hsa-mir-3658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3659","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-365a","312","288","284","222","79","121","351","227","758","175","373","255","814","181","170","204","865","300","339","101","249","28","85","26","322","34","79","377","342","71","195","132","63","84","69"
"hsa-mir-365b","312","289","284","222","78","121","352","226","759","177","375","253","803","182","168","197","863","300","339","96","248","27","90","26","321","35","79","370","340","70","195","129","66","81","69"
"hsa-mir-3660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3662","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","12","0","2","1","2","2","0","4","0","1","0","1","1","2","14","1"
"hsa-mir-3663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3664","0","0","0","0","0","1","1","1","1","0","0","0","7","2","0","3","2","0","0","5","2","1","0","0","1","1","1","2","2","4","2","1","3","3","3"
"hsa-mir-3665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3667","0","0","0","0","0","0","0","0","2","0","0","0","0","1","2","6","0","0","0","0","0","0","4","0","1","0","0","1","0","0","0","0","0","0","1"
"hsa-mir-3668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-367","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3670-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3670-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3670-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3670-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3677","7","9","8","14","4","29","2","4","43","2","4","3","43","11","20","74","10","5","7","136","26","2","56","10","54","19","29","101","15","69","64","53","9","38","75"
"hsa-mir-3678","1","1","4","2","1","1","1","1","4","1","2","0","9","4","3","4","1","4","1","1","1","0","0","1","1","1","0","2","1","0","2","1","0","0","0"
"hsa-mir-3679","0","0","0","0","0","1","0","0","0","0","0","0","1","3","0","0","1","0","0","2","0","1","0","0","0","0","0","2","2","1","0","0","1","0","0"
"hsa-mir-3680-1","0","0","3","0","0","0","1","0","1","0","0","0","2","0","0","0","2","0","1","3","2","0","1","0","1","1","0","1","0","0","0","2","0","0","4"
"hsa-mir-3680-2","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","2","2","0","1","0","0","1","2","0","0","1","0","0","0","0","0"
"hsa-mir-3681","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","2","0","0","0","0","0","1","5","0","0","0","0","0","1","0"
"hsa-mir-3682","0","3","2","1","2","2","1","2","2","0","0","0","1","4","2","1","1","0","1","12","12","0","2","1","2","4","2","4","2","3","5","4","2","11","3"
"hsa-mir-3683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3684","1","1","0","0","0","2","0","0","0","0","0","0","2","0","1","0","1","0","0","2","2","0","1","0","0","0","1","2","2","1","1","1","0","3","1"
"hsa-mir-3685","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3687-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3687-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3688-1","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0"
"hsa-mir-3688-2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1"
"hsa-mir-3689a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-3689b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3689c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3689d-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3689d-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3689e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3689f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-369","15","33","41","19","19","55","14","46","74","18","59","14","97","49","82","57","65","4","24","49","27","3","18","3","113","8","101","68","131","70","117","88","17","35","27"
"hsa-mir-3690-1","0","0","0","1","1","0","0","0","1","0","2","1","2","0","0","0","1","0","0","0","8","0","0","0","2","7","2","3","1","3","1","10","1","4","1"
"hsa-mir-3690-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3691","0","1","0","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","1","4","2","0","1","0","0","2","4","0","1","1","2","1","0","6","0"
"hsa-mir-3692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-370","16","25","33","12","11","31","22","12","33","12","60","18","64","11","17","17","29","25","30","18","22","3","15","4","69","5","60","34","81","68","99","66","7","30","19"
"hsa-mir-3713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-371a","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"hsa-mir-371b","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"hsa-mir-372","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","1","9","1","0","1","2","0","0","0","5","0","0","2","8","0","0","5","2","2","0"
"hsa-mir-373","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","3","0","0","1","1","0","0"
"hsa-mir-374a","3318","1996","3672","1561","3038","1789","2518","1637","3670","1921","3691","1626","5129","1482","1739","3949","3754","1518","3809","3892","4506","383","1588","403","9914","1701","3104","3825","2372","1262","4907","5429","1215","2870","3136"
"hsa-mir-374b","434","387","223","275","138","351","213","511","963","191","511","128","1175","359","402","306","604","188","339","394","310","27","252","67","894","97","718","654","252","219","369","617","226","340","325"
"hsa-mir-374c","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2"
"hsa-mir-375","176","24917","61215","149756","43210","488359","607","156189","390032","135","537","430","455096","292535","152013","127824","255112","393","247","15996","63746","32729","1432399","26264","145944","3046","225148","40061","30533","66391","97420","42573","114870","111817","46732"
"hsa-mir-376a-1","3","0","5","5","0","4","2","12","12","1","7","1","23","11","13","13","7","1","6","14","7","1","2","3","21","0","31","29","11","17","27","24","3","3","6"
"hsa-mir-376a-2","0","0","1","2","1","1","0","4","3","0","2","2","6","6","9","9","2","0","0","4","1","0","0","1","8","0","10","3","6","6","7","6","1","0","6"
"hsa-mir-376b","0","2","4","3","2","6","3","9","11","1","3","2","28","16","8","8","1","6","3","6","5","0","1","2","17","2","32","19","19","11","23","26","5","4","14"
"hsa-mir-376c","20","31","19","8","17","29","6","40","62","5","25","1","63","46","32","32","55","6","16","17","22","2","6","3","84","10","100","46","94","38","67","65","8","12","19"
"hsa-mir-377","11","13","11","4","6","15","9","39","31","7","15","2","31","25","23","17","30","7","20","9","12","0","9","3","41","1","73","23","31","18","53","51","6","11","8"
"hsa-mir-378a","3301","6479","7908","2596","5519","8329","5780","2634","7458","5293","20121","8425","13005","3429","3161","4195","13565","8214","4459","1688","6257","2633","463","1532","4098","2037","2973","3275","4188","2585","4404","1653","2387","4048","3902"
"hsa-mir-378b","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-378c","67","79","56","38","72","68","71","62","84","75","344","89","195","48","57","80","313","110","79","20","58","37","11","10","66","24","33","31","41","30","51","15","21","88","59"
"hsa-mir-378d-1","0","5","1","1","1","1","1","1","2","1","18","1","14","2","6","3","9","2","3","1","1","0","0","0","3","0","1","1","1","1","4","2","2","3","3"
"hsa-mir-378d-2","3","5","3","1","3","5","3","4","7","2","20","3","9","0","4","3","11","5","7","0","3","1","1","1","5","0","3","3","0","1","2","3","1","3","3"
"hsa-mir-378e","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-378f","0","0","0","0","1","0","0","0","0","1","1","0","3","0","0","1","1","4","0","1","1","0","1","0","0","0","0","1","1","2","0","0","0","0","0"
"hsa-mir-378g","0","0","0","0","0","0","1","0","4","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-378h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-378i","3","0","0","0","0","0","3","1","0","1","0","2","0","0","0","0","4","16","1","0","0","1","0","5","0","0","0","0","1","0","1","0","0","0","1"
"hsa-mir-378j","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-379","1580","4680","2968","818","1825","1952","1288","1907","6246","1018","2806","910","4269","1197","1568","2692","4161","1307","2403","2148","2453","101","983","221","8487","984","4562","2926","7590","2700","7758","3745","457","1826","1459"
"hsa-mir-380","2","4","1","0","1","0","5","3","5","3","12","1","9","0","2","3","4","3","1","6","5","0","1","0","7","1","3","5","11","1","4","5","1","1","2"
"hsa-mir-381","299","466","381","42","111","161","139","266","487","211","1049","116","232","68","116","185","381","137","511","54","212","28","115","42","498","77","344","147","498","122","269","207","65","214","132"
"hsa-mir-382","29","58","73","28","12","46","19","36","74","35","126","20","96","28","20","62","69","38","53","60","62","6","38","14","156","25","134","57","259","159","193","156","24","77","51"
"hsa-mir-383","39","11","7","0","3","5","30","10","21","35","165","28","46","1","3","0","10","31","51","1","1","3","1","1","8","1","0","146","0","0","2","1","0","2","0"
"hsa-mir-384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3909","1","2","3","2","0","1","0","1","8","0","3","1","1","2","1","1","6","2","0","1","0","0","0","0","2","0","1","1","3","2","6","2","0","3","3"
"hsa-mir-3910-1","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-3910-2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","0","1","0","0","0"
"hsa-mir-3911","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","1","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-3912","3","8","3","0","0","2","4","2","3","10","28","1","8","1","1","4","8","3","3","2","4","1","1","0","4","1","5","2","2","0","5","3","3","7","2"
"hsa-mir-3913-1","0","3","6","2","0","3","1","3","2","1","11","2","7","2","1","3","5","1","2","8","4","1","4","1","4","3","3","3","13","1","10","8","0","6","2"
"hsa-mir-3913-2","3","3","1","1","5","1","4","1","1","2","7","1","4","3","2","3","5","2","2","12","5","1","6","1","5","3","9","6","11","4","2","4","1","7","1"
"hsa-mir-3914-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3914-2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-3916","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3917","1","1","2","0","3","3","1","0","6","0","1","0","6","6","2","7","6","3","0","8","7","0","0","0","6","2","4","3","3","4","4","6","1","8","1"
"hsa-mir-3918","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3919","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-3920","0","0","0","1","0","1","0","0","0","0","0","0","3","1","0","3","0","0","0","0","0","0","0","0","0","0","2","3","0","1","0","1","0","0","0"
"hsa-mir-3921","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3922","2","0","0","1","1","2","1","2","6","2","2","0","6","0","3","4","1","0","0","2","2","0","3","0","1","0","4","1","3","2","6","4","1","7","4"
"hsa-mir-3923","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","29","0","0","0","0","0","0","0","2","0","0","2","0","0","1","0","0","0","0"
"hsa-mir-3924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3925","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"hsa-mir-3926-1","2","0","1","0","0","1","2","1","2","0","5","0","12","0","1","1","2","2","3","0","0","0","1","0","8","0","3","0","0","1","2","4","0","0","2"
"hsa-mir-3926-2","1","1","3","0","2","1","4","1","5","0","11","5","8","0","1","0","4","1","6","1","0","0","0","0","16","0","11","2","1","0","3","10","0","2","2"
"hsa-mir-3927","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3928","1","1","4","2","0","9","1","3","6","1","5","1","16","2","1","10","1","3","0","15","2","0","0","0","3","0","4","6","6","9","6","10","3","10","10"
"hsa-mir-3929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3934","1","1","4","16","5","9","2","11","11","1","4","1","19","12","17","15","9","1","4","26","15","9","15","5","7","2","11","12","28","15","12","12","13","39","10"
"hsa-mir-3935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
